season,n_picks,wr,longest_loss_streak,flat_profit,flat_maxdd,kelly_profit,kelly_roi,kelly_maxdd,kelly_final,odds_table
2018-19,51,0.7843137254901961,1.0,25363.63636363647,1090.9090909090883,117140.96355300109,2.3428192710600215,8796.892818579014,167140.9635530011,odds_2018-19_new
2019-20,35,0.7714285714285715,2.0,16545.454545454617,2090.9090909090883,59072.69758011795,1.181453951602359,7399.742745914729,109072.69758011795,odds_2019-20_new
2020-21,41,0.8048780487804879,1.0,22000.000000000087,1090.9090909090883,90775.55537457726,1.8155111074915453,7087.098897575983,140775.55537457726,odds_2020-21_new
2021-22,0,0.0,,0.0,,0.0,0.0,0.0,,
2022-23,15,0.4666666666666667,2.0,-1636.3636363636178,2363.636363636353,-5526.382257067198,-0.11052764514134396,5586.429205322151,44473.6177429328,odds_2022-23_new
2023-24,12,0.4166666666666667,6.0,-2454.5454545454413,6000.0,-4371.777492051107,-0.08743554984102214,13862.243115751982,45628.22250794889,2023-24
2024-25,32,0.8125,1.0,17636.363636363705,1090.9090909090883,56929.87476560706,1.1385974953121412,4947.763648872162,106929.87476560706,2024-25
2025-26,26,0.9230769230769231,2.0,19818.18181818188,2000.0,64702.20025726719,1.294044005145344,7532.486456949293,114702.20025726719,2025-26
